CHEMBL_MOL_ID,DOCKING_SCORE
CHEMBL1258900,-10.96
CHEMBL2178598,-10.912
CHEMBL1258780,-10.881
CHEMBL407891,-10.789
CHEMBL1170447,-10.768
CHEMBL1258781,-10.647
CHEMBL2325995,-10.638
CHEMBL1258665,-10.559
CHEMBL2177361,-10.538
CHEMBL1257282,-10.532
CHEMBL1169623,-10.516
CHEMBL1171993,-10.489
CHEMBL2178597,-10.447
CHEMBL1258552,-10.421
CHEMBL469560,-10.387
CHEMBL2325990,-10.378
CHEMBL1171673,-10.337
CHEMBL2325737,-10.329
CHEMBL2325993,-10.32
CHEMBL2325987,-10.314
CHEMBL2325733,-10.287
CHEMBL2177371,-10.272
CHEMBL1171994,-10.238
CHEMBL1169610,-10.214
CHEMBL512480,-10.202
CHEMBL2325727,-10.183
CHEMBL2325992,-10.183
CHEMBL523586,-10.179
CHEMBL1170261,-10.168
CHEMBL1760760,-10.147
CHEMBL1236822,-10.143
CHEMBL2325735,-10.135
CHEMBL2325994,-10.123
CHEMBL2325730,-10.094
CHEMBL498052,-10.086
CHEMBL1171647,-10.075
CHEMBL2325732,-10.047
CHEMBL1257628,-10.043
CHEMBL2325739,-10.035
CHEMBL469561,-10.033
CHEMBL1632375,-10.008
CHEMBL3899777,-10.005
CHEMBL513019,-10.002
CHEMBL2325729,-9.998
CHEMBL2325742,-9.996
CHEMBL2325996,-9.992
CHEMBL1257402,-9.98
CHEMBL2325731,-9.971
CHEMBL1170263,-9.902
CHEMBL1632372,-9.871
CHEMBL2325736,-9.849
CHEMBL1257512,-9.849
CHEMBL512305,-9.842
CHEMBL2325983,-9.832
CHEMBL2325734,-9.832
CHEMBL598194,-9.819
CHEMBL3961106,-9.816
CHEMBL1235979,-9.813
CHEMBL512672,-9.81
CHEMBL1170262,-9.768
CHEMBL1171842,-9.765
CHEMBL2325743,-9.757
CHEMBL2325997,-9.757
CHEMBL3949795,-9.749
CHEMBL2177377,-9.743
CHEMBL2177362,-9.735
CHEMBL1173384,-9.717
CHEMBL1171841,-9.706
CHEMBL3544960,-9.697
CHEMBL1257513,-9.69
CHEMBL498051,-9.686
